"batch_id","sample_index","product_id","title","slug","url","cluster"
"BATCH-06","2","7291","CUSTOM CHRISTMAS GIFT BOX WITH RIBBON","custom-christmas-gift-box-with-ribbon","http://localhost/hopgiayvpn/product/custom-christmas-gift-box-with-ribbon/","Tea and coffee packaging"
"BATCH-07","1","7095","CUSTOM PET FOOD PACKAGING BOX","custom-pet-food-packaging-box","http://localhost/hopgiayvpn/product/custom-pet-food-packaging-box/","Pet product packaging"
"BATCH-07","2","7101","PET SUPPLEMENT PACKAGING BOX","pet-supplement-packaging-box","http://localhost/hopgiayvpn/product/pet-supplement-packaging-box/","Pet product packaging"
"BATCH-08","1","235","Custom Essential Oil Packaging Box with Insert","custom-essential-oil-packaging-box-with-insert","http://localhost/hopgiayvpn/product/custom-essential-oil-packaging-box-with-insert/","Perfume and beauty packaging"
"BATCH-08","2","7192","CUSTOM PINK PAPER GIFT BAG WITH TWISTED HANDLES","custom-pink-paper-gift-bag-with-twisted-handles","http://localhost/hopgiayvpn/product/custom-pink-paper-gift-bag-with-twisted-handles/","Perfume and beauty packaging"
"BATCH-09","1","234","Custom Incense Packaging Box with Window","custom-incense-packaging-box-with-window","http://localhost/hopgiayvpn/product/custom-incense-packaging-box-with-window/","Perfume and beauty packaging"
"BATCH-09","2","829","Custom Vial Boxes for Glass Vials, Ampoules and Lab Samples","custom-vial-packaging-box","http://localhost/hopgiayvpn/product/custom-vial-packaging-box/","Perfume and beauty packaging"
"BATCH-10","1","239","Custom Pizza Packaging Box","custom-pizza-packaging-box","http://localhost/hopgiayvpn/product/custom-pizza-packaging-box/","Bakery, food and confectionery packaging"
"BATCH-10","2","1026","CUSTOM GREEN BIRD NEST COMPARTMENT GIFT BOX","custom-green-bird-nest-compartment-gift-box","http://localhost/hopgiayvpn/product/custom-green-bird-nest-compartment-gift-box/","Bakery, food and confectionery packaging"
"BATCH-11","1","230","Custom Pastry Display Box with Drawer","custom-pastry-display-box-with-drawer","http://localhost/hopgiayvpn/product/custom-pastry-display-box-with-drawer/","Bakery, food and confectionery packaging"
"BATCH-11","2","1024","CUSTOM GREEN BIRD NEST GIFT BOX WITH HANDLE","custom-green-bird-nest-gift-box-with-handle","http://localhost/hopgiayvpn/product/custom-green-bird-nest-gift-box-with-handle/","Bakery, food and confectionery packaging"
"BATCH-12","1","231","Custom Wine Drawer Box with Insert","custom-wine-drawer-box-with-insert","http://localhost/hopgiayvpn/product/custom-wine-drawer-box-with-insert/","Wine, bottle and beverage packaging"
"BATCH-12","2","840","CUSTOM WINE BOTTLE PACKAGING BOX","custom-wine-bottle-packaging-box","http://localhost/hopgiayvpn/product/custom-wine-bottle-packaging-box/","Wine, bottle and beverage packaging"
"BATCH-13","1","229","Custom Flat Rigid Gift Box with Ribbon","custom-flat-rigid-gift-box-with-ribbon","http://localhost/hopgiayvpn/product/custom-flat-rigid-gift-box-with-ribbon/","Jewelry, watch and premium accessories"
"BATCH-13","2","1291","CUSTOM RING BOX WITH VELVET INSERT","custom-ring-box-with-velvet-insert","http://localhost/hopgiayvpn/product/custom-ring-box-with-velvet-insert/","Jewelry, watch and premium accessories"
"BATCH-14","1","725","CUSTOM LUXURY GIFT BOX WITH PAPER BAG","custom-luxury-gift-box-with-paper-bag","http://localhost/hopgiayvpn/product/custom-luxury-gift-box-with-paper-bag/","Paper bags and carried packaging"
"BATCH-14","2","7199","CUSTOM LIME GREEN PAPER SHOPPING BAG WITH ROPE HANDLES","custom-lime-green-paper-shopping-bag-with-rope-handles","http://localhost/hopgiayvpn/product/custom-lime-green-paper-shopping-bag-with-rope-handles/","Paper bags and carried packaging"
"BATCH-15","1","245","Custom Apparel Drawer Box with Ribbon Pull","custom-apparel-drawer-box-with-ribbon-pull","http://localhost/hopgiayvpn/product/custom-apparel-drawer-box-with-ribbon-pull/","Fashion and sportswear packaging"
"BATCH-15","2","1245","CUSTOM YOGA MAT PACKAGING BOX","custom-yoga-mat-packaging-box","http://localhost/hopgiayvpn/product/custom-yoga-mat-packaging-box/","Fashion and sportswear packaging"
"BATCH-16","1","426","CUSTOM MEDICAL KIT PACKAGING BOX","custom-medical-kit-packaging-box","http://localhost/hopgiayvpn/product/custom-medical-kit-packaging-box/","Pharma, supplement and electronics"
"BATCH-16","2","815","CUSTOM TABLET PACKAGING BOX","custom-tablet-packaging-box","http://localhost/hopgiayvpn/product/custom-tablet-packaging-box/","Pharma, supplement and electronics"
"BATCH-17","1","233","Custom Candle Jar Box with Insert","custom-candle-jar-box-with-insert","http://localhost/hopgiayvpn/product/custom-candle-jar-box-with-insert/","Home, candle and lifestyle packaging"
"BATCH-17","2","1215","CUSTOM CANDLE PAPER TUBE BOX","custom-candle-paper-tube-box","http://localhost/hopgiayvpn/product/custom-candle-paper-tube-box/","Home, candle and lifestyle packaging"
