product_id,title,url,url_http_status,search_intent,primary_keyword,secondary_keyword_1,secondary_keyword_2,secondary_keyword_3,secondary_keyword_4,secondary_keyword_5,search_volume,keyword_difficulty,decision_flag,decision_reason,owner_review
247,"Custom Kraft Bakery Box with Window",http://localhost/hopgiayvpn/product/custom-kraft-bakery-box-with-window/,200,"Commercial investigation — source kraft bakery box with window.","kraft bakery box with window","kraft bakery box with window manufacturer","wholesale kraft bakery box with window","kraft bakery box with window supplier",,,,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",YES
248,"Custom Pastry Sleeve Box with Insert",http://localhost/hopgiayvpn/product/custom-pastry-sleeve-box-with-insert/,200,"Commercial investigation — source pastry sleeve box for food; evaluate pastry sleeve box with insert.","pastry sleeve box","pastry sleeve box with insert","food packaging box","pastry sleeve box manufacturer","pastry sleeve box with insert for food","food grade paper food box",,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",NO
249,"Custom Mooncake Gift Box Set with Paper Bag",http://localhost/hopgiayvpn/product/custom-mooncake-gift-box-set-with-paper-bag/,200,"Commercial investigation — source mooncake gift box set for food; evaluate mooncake gift box set with paper bag.","mooncake gift box set","mooncake gift box set with paper bag","food packaging box","mooncake gift box set manufacturer","mooncake gift box set with paper bag for food","art paper food box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
250,"Custom Mooncake Handbag Gift Box with Insert",http://localhost/hopgiayvpn/product/custom-mooncake-handbag-gift-box-with-insert/,200,"Commercial investigation — source mooncake handbag gift box for food; evaluate mooncake handbag gift box with insert.","mooncake handbag gift box","mooncake handbag gift box with insert","food packaging box","mooncake handbag gift box manufacturer","mooncake handbag gift box with insert for food","art paper food box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
252,"Custom Mooncake Cabinet Gift Box with Drawers",http://localhost/hopgiayvpn/product/custom-mooncake-cabinet-gift-box-with-drawers/,200,"Commercial investigation — source mooncake cabinet gift box for food; evaluate mooncake cabinet gift box with drawers.","mooncake cabinet gift box","mooncake cabinet gift box with drawers","food packaging box","mooncake cabinet gift box manufacturer","mooncake cabinet gift box with drawers for food","art paper food box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
254,"Custom Rigid Gift Box with Matching Paper Bag",http://localhost/hopgiayvpn/product/custom-rigid-gift-box-with-matching-paper-bag/,200,"Commercial investigation — source rigid gift box with paper bag for retail; evaluate rigid gift box with matching paper bag.","rigid gift box with paper bag","rigid gift box with matching paper bag","retail packaging box","rigid gift box with paper bag manufacturer","rigid gift box with matching paper bag for retail","art paper retail box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
255,"Custom Round Jar Drawer Box",http://localhost/hopgiayvpn/product/custom-round-jar-drawer-box/,200,"Commercial investigation — source round jar drawer box for candle; evaluate round jar drawer box.","round jar drawer box","candle packaging box","round jar drawer box manufacturer","round jar drawer box for candle","art paper candle box",,,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",NO
256,"Custom Luxury Watch Box with Drawer",http://localhost/hopgiayvpn/product/custom-luxury-watch-box-with-drawer/,200,"Commercial investigation — source luxury watch box with drawer for watch; evaluate luxury watch box with drawer.","luxury watch box with drawer","watch packaging box","luxury watch box with drawer manufacturer","luxury watch box with drawer for watch","art paper watch box",,,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support",NO
257,"Custom Watch Box with Pillow Insert",http://localhost/hopgiayvpn/product/custom-watch-box-with-pillow-insert/,200,"Commercial investigation — source watch box with pillow for watch; evaluate watch box with pillow insert.","watch box with pillow","watch box with pillow insert","watch packaging box","watch box with pillow manufacturer","watch box with pillow insert for watch","art paper watch box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support",NO
295,"Custom Pastry Box with Clear Window",http://localhost/hopgiayvpn/product/custom-pastry-box-with-clear-window/,200,"Commercial investigation — source pastry box with window for food; evaluate pastry box with clear window.","pastry box with window","pastry box with clear window","food packaging box","pastry box with window manufacturer","pastry box with clear window for food","food grade paper food box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, insert/support, packed product/use",YES
323,"Custom Tumbler Packaging Box with Insert",http://localhost/hopgiayvpn/product/custom-tumbler-packaging-box-with-insert/,200,"Commercial investigation — source tumbler packaging box for drinkware; evaluate tumbler packaging box with insert.","tumbler packaging box","tumbler packaging box with insert","drinkware packaging box","tumbler packaging box manufacturer","tumbler packaging box with insert for drinkware","art paper drinkware box",,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",NO
325,"Custom Skincare Jar Packaging Box with Insert",http://localhost/hopgiayvpn/product/custom-skincare-jar-packaging-box-with-insert/,200,"Commercial investigation — source skincare jar packaging box for cosmetics; evaluate lid and base skincare jar box with insert.","skincare jar packaging box","lid and base skincare jar box with insert","cosmetics packaging box","skincare jar packaging box manufacturer","lid and base skincare jar box with insert for cosmetics","art paper cosmetics box",,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",NO
328,"Custom Bottle Carrier Box with Handle",http://localhost/hopgiayvpn/product/custom-bottle-carrier-box-with-handle/,200,"Commercial investigation — source bottle carrier box for beverage; evaluate bottle carrier box with handle.","bottle carrier box","bottle carrier box with handle","beverage packaging box","bottle carrier box manufacturer","bottle carrier box with handle for beverage","kraft paper beverage box",,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",NO
334,"Custom Perfume Gift Set Box with Insert",http://localhost/hopgiayvpn/product/custom-perfume-gift-set-box-with-insert/,200,"Commercial investigation — source perfume gift set box for perfume; evaluate perfume gift set box with insert.","perfume gift set box","perfume gift set box with insert","perfume packaging box","perfume gift set box manufacturer","perfume gift set box with insert for perfume","art paper perfume box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, packed product/use",NO
340,"Custom Cosmetic Drawer Box with Insert",http://localhost/hopgiayvpn/product/custom-cosmetic-drawer-box-with-insert/,200,"Commercial investigation — source cosmetic drawer box for cosmetics; evaluate cosmetic drawer box with insert.","cosmetic drawer box","cosmetic drawer box with insert","cosmetics packaging box","cosmetic drawer box manufacturer","cosmetic drawer box with insert for cosmetics","art paper cosmetics box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
346,"Custom Rigid Square Gift Box with Foil Logo",http://localhost/hopgiayvpn/product/custom-rigid-square-gift-box-with-foil-logo/,200,"Commercial investigation — source rigid square gift box for retail; evaluate rigid square gift box.","rigid square gift box","retail packaging box","rigid square gift box manufacturer","rigid square gift box for retail","art paper retail box",,,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, insert/support, packed product/use",YES
351,"Custom Luxury Mooncake Gift Box with Insert",http://localhost/hopgiayvpn/product/custom-luxury-mooncake-gift-box-with-insert/,200,"Commercial investigation — source luxury mooncake gift box for food; evaluate luxury rigid mooncake gift box.","luxury mooncake gift box","luxury rigid mooncake gift box","food packaging box","luxury mooncake gift box manufacturer","luxury rigid mooncake gift box for food","art paper food box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
357,"Custom Kraft Pastry Drawer Box with Insert",http://localhost/hopgiayvpn/product/custom-kraft-pastry-drawer-box-with-insert/,200,"Commercial investigation — source pastry drawer box for food; evaluate kraft drawer pastry box.","pastry drawer box","kraft drawer pastry box","food packaging box","pastry drawer box manufacturer","kraft drawer pastry box for food","kraft paper food box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
367,"Custom Mooncake Packaging Box",http://localhost/hopgiayvpn/product/custom-mooncake-packaging-box/,200,"Commercial investigation — source mooncake packaging box for food; evaluate mooncake packaging box.","mooncake packaging box","food packaging box","mooncake packaging box manufacturer","mooncake packaging box for food","food grade paper food box",,,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
373,"Custom Luxury Paper Gift Bag with Ribbon Handles",http://localhost/hopgiayvpn/product/custom-luxury-paper-gift-bag-with-ribbon-handles/,200,"Commercial investigation — source luxury paper gift bag for retail.","luxury paper gift bag","retail packaging box","luxury paper gift bag manufacturer","luxury paper gift bag for retail","art paper retail box",,,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, packed product/use",YES
379,"Custom Paper Shopping Bag with Handles",http://localhost/hopgiayvpn/product/custom-paper-shopping-bag-with-handles/,200,"Commercial investigation — source custom paper shopping bag for retail.","custom paper shopping bag","retail packaging box","custom paper shopping bag manufacturer","custom paper shopping bag for retail","art paper retail box",,,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, packed product/use",YES
386,"Custom Printed Corrugated Ecommerce Box",http://localhost/hopgiayvpn/product/custom-printed-corrugated-ecommerce-box/,200,"Commercial investigation — source printed corrugated ecommerce box for ecommerce; evaluate printed corrugated ecommerce box.","printed corrugated ecommerce box","ecommerce packaging box","printed corrugated ecommerce box manufacturer","printed corrugated ecommerce box for ecommerce","corrugated paper ecommerce box",,,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
391,"Custom Corrugated Mailer Box",http://localhost/hopgiayvpn/product/custom-corrugated-mailer-box/,200,"Commercial investigation — source custom corrugated mailer box for ecommerce; evaluate corrugated mailer box.","custom corrugated mailer box","corrugated mailer box","ecommerce packaging box","custom corrugated mailer box manufacturer","corrugated mailer box for ecommerce","corrugated paper ecommerce box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
397,"Custom Magnetic Gift Box with Insert Tray",http://localhost/hopgiayvpn/product/custom-magnetic-gift-box-with-insert-tray/,200,"Commercial investigation — source magnetic gift box with insert for cosmetics; evaluate magnetic closure rigid box with insert tray.","magnetic gift box with insert","magnetic closure rigid box with insert tray","cosmetics packaging box","magnetic gift box with insert manufacturer","magnetic closure rigid box with insert tray for cosmetics","art paper cosmetics box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, insert/support, packed product/use",NO
401,"Custom Magnetic Closure Gift Box",http://localhost/hopgiayvpn/product/custom-magnetic-closure-gift-box/,200,"Commercial investigation — source magnetic closure gift box for cosmetics; evaluate magnetic closure rigid box.","magnetic closure gift box","magnetic closure rigid box","cosmetics packaging box","magnetic closure gift box manufacturer","magnetic closure rigid box for cosmetics","art paper cosmetics box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, insert/support, packed product/use",NO
405,"Custom Perfume Display Box with Sleeve",http://localhost/hopgiayvpn/product/custom-perfume-display-box-with-sleeve/,200,"Commercial investigation — source perfume display box for perfume; evaluate rigid perfume display box.","perfume display box","rigid perfume display box","perfume packaging box","perfume display box manufacturer","rigid perfume display box for perfume","art paper perfume box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
416,"Custom Pastry Gift Box with Insert",http://localhost/hopgiayvpn/product/custom-pastry-gift-box-with-insert/,200,"Commercial investigation — source pastry gift box with insert for food; evaluate rigid pastry gift box.","pastry gift box with insert","rigid pastry gift box","food packaging box","pastry gift box with insert manufacturer","rigid pastry gift box for food","food grade paper food box",,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",YES
422,"CUSTOM MAGNETIC GIFT BOX",http://localhost/hopgiayvpn/product/custom-magnetic-gift-box/,200,"Commercial investigation — source magnetic gift box for retail; evaluate magnetic rigid gift box.","magnetic gift box","magnetic rigid gift box","retail packaging box","magnetic gift box manufacturer","magnetic rigid gift box for retail","rigid greyboard retail box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",YES
426,"CUSTOM MEDICAL KIT PACKAGING BOX",http://localhost/hopgiayvpn/product/custom-medical-kit-packaging-box/,200,"Commercial investigation — source medical kit packaging box for healthcare; evaluate medical kit packaging box with insert.","medical kit packaging box","medical kit packaging box with insert","healthcare packaging box","medical kit packaging box manufacturer","medical kit packaging box with insert for healthcare","ivory paper healthcare box",,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",NO
431,"Custom Watch Box with Drawer",http://localhost/hopgiayvpn/product/custom-watch-box-with-drawer/,200,"Commercial investigation — source watch box with drawer for watch; evaluate rigid drawer box.","watch box with drawer","custom watch box with drawer","rigid drawer box","watch packaging box","watch box with drawer manufacturer","rigid drawer box for watch",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
603,"Custom Luxury Wine Bottle Gift Box with Logo",http://localhost/hopgiayvpn/product/custom-luxury-wine-bottle-packaging-box/,200,"Commercial investigation — source luxury wine bottle gift box for wine; evaluate luxury wine bottle gift box.","luxury wine bottle gift box","wine packaging box","luxury wine bottle gift box manufacturer","luxury wine bottle gift box for wine","rigid paperboard wine box",,,,NEEDS_OWNER_REVIEW,"Search intent overlaps, but one or both source records lack enough Product DNA to prove a distinct variant.",YES
725,"CUSTOM LUXURY GIFT BOX WITH PAPER BAG",http://localhost/hopgiayvpn/product/custom-luxury-gift-box-with-paper-bag/,200,"Commercial investigation — source luxury gift box with paper bag for retail; evaluate luxury gift box with matching paper bag.","luxury gift box with paper bag","luxury gift box with matching paper bag","retail packaging box","luxury gift box with paper bag manufacturer","luxury gift box with matching paper bag for retail","rigid greyboard retail box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, packed product/use",NO
738,"CUSTOM MUG PACKAGING BOX WITH WINDOW",http://localhost/hopgiayvpn/product/custom-mug-packaging-box-with-window/,200,"Commercial investigation — source mug packaging box with window for drinkware; evaluate mug packaging box with window.","mug packaging box with window","drinkware packaging box","mug packaging box with window manufacturer","mug packaging box with window for drinkware","ivory paper drinkware box",,,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",YES
739,"CUSTOM PAPER TUBE FOOD PACKAGING BOX",http://localhost/hopgiayvpn/product/custom-paper-tube-food-packaging-box/,200,"Commercial investigation — source paper tube food packaging box for food; evaluate round paper tube food packaging box.","paper tube food packaging box","round paper tube food packaging box","food packaging box","paper tube food packaging box manufacturer","round paper tube food packaging box for food","kraft paper food box",,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",YES
744,"CUSTOM PHONE PACKAGING BOX",http://localhost/hopgiayvpn/product/custom-phone-packaging-box/,200,"Commercial investigation — source phone packaging box for electronics; evaluate phone packaging box with device tray.","phone packaging box","phone packaging box with device tray","electronics packaging box","phone packaging box manufacturer","phone packaging box with device tray for electronics","rigid greyboard electronics box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",YES
752,"CUSTOM PILL PACKAGING BOX",http://localhost/hopgiayvpn/product/custom-pill-packaging-box/,200,"Commercial investigation — source pill packaging box for pharmaceutical; evaluate pill packaging box pharmaceutical carton.","pill packaging box","pill packaging box pharmaceutical carton","pharmaceutical packaging box","pill packaging box manufacturer","pill packaging box pharmaceutical carton for pharmaceutical","ivory paper pharmaceutical box",,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",NO
757,"CUSTOM PRINTED CORRUGATED PET FOOD BOX",http://localhost/hopgiayvpn/product/custom-printed-corrugated-pet-food-box/,200,"Commercial investigation — source printed corrugated pet food box for pet food; evaluate printed corrugated pet food box.","printed corrugated pet food box","pet food packaging box","printed corrugated pet food box manufacturer","printed corrugated pet food box for pet food","corrugated paper pet food box",,,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",YES
762,"CUSTOM RIGID GIFT BOX",http://localhost/hopgiayvpn/product/custom-rigid-gift-box/,200,"Commercial investigation — source rigid gift box for retail; evaluate rigid gift box lid and base box.","rigid gift box","rigid gift box lid and base box","retail packaging box","rigid gift box manufacturer","rigid gift box lid and base box for retail","rigid greyboard retail box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",YES
767,"CUSTOM SINGLE WINE BOTTLE GIFT BOX",http://localhost/hopgiayvpn/product/custom-single-wine-bottle-gift-box/,200,"Commercial investigation — source single wine bottle gift box for wine; evaluate single wine bottle gift box.","single wine bottle gift box","wine packaging box","single wine bottle gift box manufacturer","single wine bottle gift box for wine","rigid greyboard wine box",,,,NEEDS_OWNER_REVIEW,"Search intent overlaps, but one or both source records lack enough Product DNA to prove a distinct variant.",YES
769,"CUSTOM AMPOULE PACKAGING BOX",http://localhost/hopgiayvpn/product/custom-ampoule-packaging-box/,200,"Commercial investigation — source ampoule packaging box for skincare; evaluate ampoule packaging box with custom insert.","ampoule packaging box","ampoule packaging box with custom insert","skincare packaging box","ampoule packaging box manufacturer","ampoule packaging box with custom insert for skincare","ivory paper skincare box",,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",NO
770,"CUSTOM CHARGING CABLE PACKAGING BOX",http://localhost/hopgiayvpn/product/custom-charging-cable-packaging-box/,200,"Commercial investigation — source charging cable packaging box for electronics; evaluate charging cable retail packaging box.","charging cable packaging box","charging cable retail packaging box","electronics packaging box","charging cable packaging box manufacturer","charging cable retail packaging box for electronics","ivory paper electronics box",,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",YES
771,"CUSTOM COLORED PENCIL PACKAGING BOX",http://localhost/hopgiayvpn/product/custom-colored-pencil-packaging-box/,200,"Commercial investigation — source colored pencil packaging box for stationery; evaluate colored pencil packaging box with tray.","colored pencil packaging box","colored pencil packaging box with tray","stationery packaging box","colored pencil packaging box manufacturer","colored pencil packaging box with tray for stationery","ivory paper stationery box",,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",YES
773,"CUSTOM COSMETIC PACKAGING BOX",http://localhost/hopgiayvpn/product/custom-cosmetic-packaging-box/,200,"Commercial investigation — source cosmetic packaging box for cosmetic; evaluate cosmetic packaging box.","cosmetic packaging box","cosmetic packaging box manufacturer","cosmetic packaging box for cosmetic","ivory paper cosmetic box",,,,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",YES
774,"CUSTOM COSMETIC PAPER BAG",http://localhost/hopgiayvpn/product/custom-cosmetic-paper-bag/,200,"Commercial investigation — source cosmetic paper bag for cosmetic; evaluate cosmetic paper bag.","cosmetic paper bag","cosmetic packaging box","cosmetic paper bag manufacturer","cosmetic paper bag for cosmetic","art paper cosmetic box",,,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, packed product/use",YES
775,"CUSTOM CRAYON PACKAGING BOX",http://localhost/hopgiayvpn/product/custom-crayon-packaging-box/,200,"Commercial investigation — source crayon packaging box for stationery; evaluate crayon packaging box.","crayon packaging box","stationery packaging box","crayon packaging box manufacturer","crayon packaging box for stationery","ivory paper stationery box",,,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",YES
776,"CUSTOM DINNERWARE PACKAGING BOX",http://localhost/hopgiayvpn/product/custom-dinnerware-packaging-box/,200,"Commercial investigation — source dinnerware packaging box for dinnerware; evaluate dinnerware packaging box with protective divider.","dinnerware packaging box","dinnerware packaging box with protective divider","dinnerware packaging box manufacturer","dinnerware packaging box with protective divider for dinnerware","corrugated paper dinnerware box",,,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",YES
777,"CUSTOM PHONE CASE PACKAGING BOX",http://localhost/hopgiayvpn/product/custom-phone-case-packaging-box/,200,"Commercial investigation — source phone case packaging box for electronics; evaluate phone case retail packaging box.","phone case packaging box","phone case retail packaging box","electronics packaging box","phone case packaging box manufacturer","phone case retail packaging box for electronics","ivory paper electronics box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",YES
